complex i-RMSD case cutoff stage difficulty
3biw 0 SS T1 All-Atom Easy
3biw 0 SS T5 All-Atom Easy
3biw 2 SS T10 All-Atom Easy
3biw 2 SS T20 All-Atom Easy
3biw 2 SS T50 All-Atom Easy
3biw 2 SS T100 All-Atom Easy
3biw 2 SS T200 All-Atom Easy
1exb 0 SS T1 All-Atom Easy
1exb 1 SS T5 All-Atom Easy
1exb 1 SS T10 All-Atom Easy
1exb 1 SS T20 All-Atom Easy
1exb 1 SS T50 All-Atom Easy
1exb 1 SS T100 All-Atom Easy
1exb 1 SS T200 All-Atom Easy
1t6b 1 SS T1 All-Atom Easy
1t6b 2 SS T5 All-Atom Easy
1t6b 2 SS T10 All-Atom Easy
1t6b 2 SS T20 All-Atom Easy
1t6b 2 SS T50 All-Atom Easy
1t6b 2 SS T100 All-Atom Easy
1t6b 2 SS T200 All-Atom Easy
2ajf 0 SS T1 All-Atom Easy
2ajf 1 SS T5 All-Atom Easy
2ajf 1 SS T10 All-Atom Easy
2ajf 1 SS T20 All-Atom Easy
2ajf 1 SS T50 All-Atom Easy
2ajf 1 SS T100 All-Atom Easy
2ajf 1 SS T200 All-Atom Easy
1rlb 1 SS T1 All-Atom Easy
1rlb 1 SS T5 All-Atom Easy
1rlb 2 SS T10 All-Atom Easy
1rlb 2 SS T20 All-Atom Easy
1rlb 2 SS T50 All-Atom Easy
1rlb 2 SS T100 All-Atom Easy
1rlb 2 SS T200 All-Atom Easy
4h03 2 SS T1 All-Atom Easy
4h03 2 SS T5 All-Atom Easy
4h03 2 SS T10 All-Atom Easy
4h03 2 SS T20 All-Atom Easy
4h03 2 SS T50 All-Atom Easy
4h03 2 SS T100 All-Atom Easy
4h03 2 SS T200 All-Atom Easy
2gaf -1 SS T1 All-Atom Easy
2gaf 1 SS T5 All-Atom Easy
2gaf 1 SS T10 All-Atom Easy
2gaf 1 SS T20 All-Atom Easy
2gaf 1 SS T50 All-Atom Easy
2gaf 2 SS T100 All-Atom Easy
2gaf 2 SS T200 All-Atom Easy
1azs 1 SS T1 All-Atom Easy
1azs 1 SS T5 All-Atom Easy
1azs 2 SS T10 All-Atom Easy
1azs 2 SS T20 All-Atom Easy
1azs 2 SS T50 All-Atom Easy
1azs 2 SS T100 All-Atom Easy
1azs 2 SS T200 All-Atom Easy
3lvk 1 SS T1 All-Atom Easy
3lvk 1 SS T5 All-Atom Easy
3lvk 1 SS T10 All-Atom Easy
3lvk 2 SS T20 All-Atom Easy
3lvk 2 SS T50 All-Atom Easy
3lvk 2 SS T100 All-Atom Easy
3lvk 2 SS T200 All-Atom Easy
2fju 1 SS T1 All-Atom Easy
2fju 1 SS T5 All-Atom Easy
2fju 1 SS T10 All-Atom Easy
2fju 1 SS T20 All-Atom Easy
2fju 1 SS T50 All-Atom Easy
2fju 2 SS T100 All-Atom Easy
2fju 2 SS T200 All-Atom Easy
1kxp 2 SS T1 All-Atom Easy
1kxp 2 SS T5 All-Atom Easy
1kxp 2 SS T10 All-Atom Easy
1kxp 2 SS T20 All-Atom Easy
1kxp 2 SS T50 All-Atom Easy
1kxp 2 SS T100 All-Atom Easy
1kxp 2 SS T200 All-Atom Easy
1wdw 1 SS T1 All-Atom Easy
1wdw 2 SS T5 All-Atom Easy
1wdw 2 SS T10 All-Atom Easy
1wdw 2 SS T20 All-Atom Easy
1wdw 2 SS T50 All-Atom Easy
1wdw 2 SS T100 All-Atom Easy
1wdw 2 SS T200 All-Atom Easy
1gxd 1 SS T1 All-Atom Easy
1gxd 1 SS T5 All-Atom Easy
1gxd 1 SS T10 All-Atom Easy
1gxd 1 SS T20 All-Atom Easy
1gxd 1 SS T50 All-Atom Easy
1gxd 1 SS T100 All-Atom Easy
1gxd 1 SS T200 All-Atom Easy
2oor 0 SS T1 All-Atom Easy
2oor 1 SS T5 All-Atom Easy
2oor 1 SS T10 All-Atom Easy
2oor 1 SS T20 All-Atom Easy
2oor 1 SS T50 All-Atom Easy
2oor 1 SS T100 All-Atom Easy
2oor 1 SS T200 All-Atom Easy
1he8 1 SS T1 All-Atom Intermediate
1he8 2 SS T5 All-Atom Intermediate
1he8 2 SS T10 All-Atom Intermediate
1he8 2 SS T20 All-Atom Intermediate
1he8 2 SS T50 All-Atom Intermediate
1he8 2 SS T100 All-Atom Intermediate
1he8 2 SS T200 All-Atom Intermediate
4lw4 0 SS T1 All-Atom Intermediate
4lw4 0 SS T5 All-Atom Intermediate
4lw4 0 SS T10 All-Atom Intermediate
4lw4 0 SS T20 All-Atom Intermediate
4lw4 1 SS T50 All-Atom Intermediate
4lw4 1 SS T100 All-Atom Intermediate
4lw4 1 SS T200 All-Atom Intermediate
4jcv 1 SS T1 All-Atom Intermediate
4jcv 1 SS T5 All-Atom Intermediate
4jcv 1 SS T10 All-Atom Intermediate
4jcv 1 SS T20 All-Atom Intermediate
4jcv 1 SS T50 All-Atom Intermediate
4jcv 1 SS T100 All-Atom Intermediate
4jcv 1 SS T200 All-Atom Intermediate
1gp2 -1 SS T1 All-Atom Intermediate
1gp2 -1 SS T5 All-Atom Intermediate
1gp2 1 SS T10 All-Atom Intermediate
1gp2 1 SS T20 All-Atom Intermediate
1gp2 1 SS T50 All-Atom Intermediate
1gp2 1 SS T100 All-Atom Intermediate
1gp2 1 SS T200 All-Atom Intermediate
3aaa 1 SS T1 All-Atom Intermediate
3aaa 1 SS T5 All-Atom Intermediate
3aaa 1 SS T10 All-Atom Intermediate
3aaa 1 SS T20 All-Atom Intermediate
3aaa 1 SS T50 All-Atom Intermediate
3aaa 1 SS T100 All-Atom Intermediate
3aaa 1 SS T200 All-Atom Intermediate
3r9a 0 SS T1 All-Atom Intermediate
3r9a 0 SS T5 All-Atom Intermediate
3r9a 0 SS T10 All-Atom Intermediate
3r9a 1 SS T20 All-Atom Intermediate
3r9a 1 SS T50 All-Atom Intermediate
3r9a 2 SS T100 All-Atom Intermediate
3r9a 2 SS T200 All-Atom Intermediate
1ib1 0 SS T1 All-Atom Intermediate
1ib1 0 SS T5 All-Atom Intermediate
1ib1 0 SS T10 All-Atom Intermediate
1ib1 0 SS T20 All-Atom Intermediate
1ib1 0 SS T50 All-Atom Intermediate
1ib1 0 SS T100 All-Atom Intermediate
1ib1 1 SS T200 All-Atom Intermediate
1n2c 0 SS T1 All-Atom Intermediate
1n2c 0 SS T5 All-Atom Intermediate
1n2c 0 SS T10 All-Atom Intermediate
1n2c 0 SS T20 All-Atom Intermediate
